,close,high,low,open,volume,roll_mean,roll_upper,roll_lower,is_outlier
2021-03-04,5.617499828338623,5.63539981842041,5.545100212097168,5.616453170776367,0.0,,,,False
2021-03-05,5.668300151824951,5.715437889099121,5.6554999351501465,5.668600082397461,0.0,,,,False
2021-03-06,5.668300151824951,,,,,,,,False
2021-03-07,5.668300151824951,,,,,,,,False
2021-03-08,5.689499855041504,5.757612228393555,5.650806903839111,5.690999984741211,0.0,5.6624,5.7425,5.5822,False
2021-03-09,5.874599933624268,5.877500057220459,5.799499988555908,5.874599933624268,0.0,5.6978,5.9674,5.4281,False
2021-03-10,5.801499843597412,5.810800075531006,5.668087959289551,5.801199913024902,0.0,5.7126,5.9854,5.4398,False
2021-03-11,5.67110013961792,5.671500205993652,5.540999889373779,5.67110013961792,0.0,5.7074,5.9638,5.451,False
2021-03-12,5.534800052642822,5.58089017868042,5.530900001525879,5.5346999168396,0.0,5.6882,5.9837,5.3928,False
2021-03-13,5.534800052642822,,,,,5.6729,5.9872,5.3586,False
2021-03-14,5.534800052642822,,,,,5.6603,5.9836,5.3371,False
2021-03-15,5.495155811309815,5.652500152587891,5.495756149291992,5.495756149291992,0.0,5.6466,5.9863,5.3068,False
2021-03-16,5.614500045776367,5.624927043914795,5.556399822235107,5.614500045776367,0.0,5.6441,5.9705,5.3177,False
2021-03-17,5.6234002113342285,5.6774001121521,5.617528915405273,5.623000144958496,0.0,5.6426,5.9567,5.3286,False
2021-03-18,5.583099842071533,5.58459997177124,5.476099967956543,5.583199977874756,0.0,5.6386,5.9448,5.3325,False
2021-03-19,5.558700084686279,5.562399864196777,5.46019983291626,5.558700084686279,0.0,5.6336,5.9354,5.3319,False
2021-03-20,5.558700084686279,,,,,5.6292,5.9265,5.332,False
2021-03-21,5.558700084686279,,,,,5.6253,5.9179,5.3327,False
2021-03-22,5.493563175201416,5.545100212097168,5.468638896942139,5.489299774169922,0.0,5.6184,5.9169,5.3199,False
2021-03-23,5.505499839782715,5.54406213760376,5.474699974060059,5.505300045013428,0.0,5.6127,5.913,5.3125,False
2021-03-24,5.520400047302246,5.565700054168701,5.491138935089111,5.519700050354004,0.0,5.6083,5.9072,5.3095,False
2021-03-25,5.61959981918335,5.677499771118164,5.616952896118164,5.619699954986572,0.0,5.6089,5.9006,5.3172,False
2021-03-26,5.648399829864502,5.71613883972168,5.625531196594238,5.648799896240234,0.0,5.6106,5.8966,5.3245,False
2021-03-27,5.648399829864502,,,,,5.6122,5.8929,5.3314,False
