data,daily_return,log_return,rolling_mean_7d,rolling_std_7d,price_momentum_5d,spike_signal,spike_intensity,inter_spike_interval,india_repo_rate,target
2021-03-04,,,,,,0,0.0,,6.35,1
2021-03-05,0.0034453378701693183,0.003439416290978955,,,,1,0.0034453378701693183,,6.35,0
2021-03-06,0.0,0.0,,,,0,0.0,1.0,6.35,0
2021-03-07,0.0,0.0,,,,0,0.0,2.0,6.35,1
2021-03-08,2.190801949319976e-05,2.1907779516045644e-05,73.08189849853515,0.11247599038410858,,0,0.0,3.0,6.35,1
2021-03-09,0.002688263745077135,0.002684656826881142,73.12324905395508,0.14275814979021398,0.006164906189600988,0,0.0,4.0,6.35,0
2021-03-10,-0.0075562528676555996,-0.007584945979345239,73.07362801688058,0.1849837083422344,-0.004866501396740566,1,0.0075562528676555996,5.0,6.35,0
2021-03-11,-0.0009604898183571686,-0.0009609513842793334,73.04867117745536,0.22318967978156462,-0.005822316990055115,0,0.0,1.0,6.35,0
2021-03-12,-0.0009215379967577597,-0.0009219628739445303,72.978271484375,0.2661795983012358,-0.006738489500477334,0,0.0,2.0,6.35,0
2021-03-13,0.0,0.0,72.90787179129464,0.2834170980064483,-0.006760249416294473,0,0.0,3.0,6.35,0
2021-03-14,0.0,0.0,72.83747209821429,0.2797045795705994,-0.009423181165082282,0,0.0,4.0,6.35,1
2021-03-15,0.0006057175663030101,0.0006055341934623101,72.77312905447823,0.2505715009884863,-0.0012765645621190657,0,0.0,5.0,6.35,0
2021-03-16,-0.002307303279853512,-0.002309969205588359,72.65674264090401,0.07986028821416852,-0.0026229519206281064,0,0.0,6.0,6.35,1
2021-03-17,4.208433173946702e-06,4.208424318516657e-06,72.6195569719587,0.07561781211985544,-0.0016987820213951587,0,0.0,7.0,6.35,0
2021-03-18,-0.003033846707414689,-0.003038458149637803,72.56092834472656,0.13399131387539664,-0.004727474884567583,1,0.003033846707414689,8.0,6.35,1
2021-03-19,0.0051621323882862225,0.0051488542589269,72.565185546875,0.13731737164444213,0.0004102536525021324,1,0.0051621323882862225,1.0,6.35,0
2021-03-20,0.0,0.0,72.56944274902344,0.14041424471770805,-0.0001953455895458514,0,0.0,1.0,6.35,0
2021-03-21,0.0,0.0,72.57369995117188,0.1432967930100837,0.002116841886535381,0,0.0,2.0,6.35,0
2021-03-22,-0.003630190307558845,-0.0036367954384934355,72.5339856828962,0.14644517850030106,-0.0015252349742471277,1,0.003630190307558845,3.0,6.35,0
2021-03-23,-0.00033834660938969474,-0.000338403861518144,72.51472909109933,0.15773911455808257,0.0011743439614205636,0,0.0,1.0,6.35,1
2021-03-24,0.0032010980855285975,0.0031959854787835763,72.52852848597935,0.1619959918929559,-0.0007789103129762216,1,0.0032010980855285975,2.0,6.35,1
2021-03-25,0.0004599983230759719,0.0004598925562811447,72.57852826799665,0.12871589337458653,-0.00031927028733800915,0,0.0,1.0,6.35,0
2021-03-26,-0.00045149007477995884,-0.0004515920271119034,72.57052830287388,0.12381722702651422,-0.0007706162147520511,0,0.0,2.0,6.35,0
2021-03-27,0.0,0.0,72.56252833775112,0.1180859779084717,0.002869992712534567,0,0.0,3.0,6.35,0
2021-03-28,0.0,0.0,72.55452837262835,0.1113937099544316,0.0032094252200656117,0,0.0,4.0,6.35,0
2021-03-29,-0.002280639726482958,-0.002283244346150241,72.56055668422154,0.10276015819884551,-0.002272358093459303,0,0.0,5.0,6.35,1
2021-03-30,0.004067798823458757,0.00405954769820111,72.6121847970145,0.08676026763249309,0.0013255891425616407,1,0.004067798823458757,6.0,6.35,1
2021-03-31,0.009669800782973192,0.00962334748208354,72.731198992048,0.32662153389041404,0.011464874460270837,1,0.009669800782973192,1.0,6.35,0
2021-04-01,-0.003292224416830747,-0.0032976557116065407,72.81089891706195,0.3677329335839236,0.008134905103806092,1,0.003292224416830747,1.0,6.28,1
2021-04-02,0.0011447713682926075,0.0011441166171956751,72.90725599016461,0.3945646158403868,0.00928898907854527,0,0.0,1.0,6.28,0
2021-04-03,0.0,0.0,73.0036130632673,0.3930276013863469,0.011596075274971595,0,0.0,2.0,6.28,0
2021-04-04,0.0,0.0,73.09997013636998,0.3627614761478097,0.007497777003041399,0,0.0,3.0,6.28,1
2021-04-05,0.0012102961998510242,0.0012095643818235398,73.23265620640346,0.22964303543901213,-0.0009435293086193683,0,0.0,4.0,6.28,0
2021-04-06,-0.0013150973445493763,-0.0013159628439560619,73.30945696149554,0.07797182589619972,0.0010382567708421813,0,0.0,5.0,6.28,1
2021-04-07,0.002872494857047325,0.0028683771272492017,73.3158427647182,0.09159204862021181,0.0027657964422538495,0,0.0,6.0,6.28,1
2021-04-08,0.012403035105908788,0.012326747615895623,73.4869853428432,0.41055447511511745,0.015203135818531773,1,0.012403035105908788,7.0,6.28,1
2021-04-09,0.001922076531746919,0.0019202317062023122,73.66658564976284,0.5573753679391135,0.017154433940844562,0,0.0,1.0,6.28,0
2021-04-10,0.0,0.0,73.84618595668248,0.6144224881629405,0.015924863938685353,0,0.0,2.0,6.28,0
2021-04-11,0.0,0.0,74.02578626360211,0.6075344077188405,0.017262663365987183,0,0.0,3.0,6.28,1
2021-04-12,0.0024817062692661374,0.0024786319216306874,74.21914345877511,0.5810721653033808,0.016866267371822483,0,0.0,4.0,6.28,1
2021-04-13,0.0034992539519109744,0.003493145807951496,74.46364266531808,0.469084937166668,0.00792323342821689,1,0.0034992539519109744,5.0,6.28,1
2021-04-14,0.0025403846897311677,0.002537163366991189,74.70528629847935,0.2825013973071671,0.008545245032160961,0,0.0,1.0,6.28,0
2021-04-15,-0.00206703950299314,-0.002069178777631757,74.79451533726284,0.2688689314673664,0.006460542170123585,0,0.0,2.0,6.28,0
2021-04-16,-0.003981260183605118,-0.003989206497838464,74.82064383370536,0.24865029718380668,0.0024535608872120382,1,0.003981260183605118,3.0,6.28,0
2021-04-17,0.0,0.0,74.84677233014789,0.22309297503352996,-2.8075706397534645e-05,0,0.0,1.0,6.28,0
2021-04-18,0.0,0.0,74.8729008265904,0.1900553023926218,-0.0035150296768207447,0,0.0,2.0,6.28,0
2021-04-19,-0.002197317520651554,-0.002199735164998945,74.8491439819336,0.21913655066227303,-0.008224115832960396,0,0.0,3.0,6.28,1
2021-04-20,0.00422453440795123,0.004215636114431332,74.83302961077008,0.2109616670309079,-0.001971359861034688,1,0.00422453440795123,4.0,6.28,1
2021-04-21,0.007625808311940485,0.007596878816508248,74.87127249581474,0.29298113239979423,0.009659130935498592,1,0.007625808311940485,1.0,6.28,0
2021-04-22,-0.0002611919697271814,-0.00026122608629048396,74.92890058244977,0.3604218405186915,0.009395416078336483,0,0.0,1.0,6.28,0
2021-04-23,-0.004478341852358181,-0.004488399664679274,74.98094286237445,0.3526957469338827,0.004874998340934406,1,0.004478341852358181,2.0,6.28,0
2021-04-24,0.0,0.0,75.03298514229911,0.33550719702392573,0.007087890206922068,0,0.0,1.0,6.28,0
