date,daily_return,log_return,rolling_mean_7d,rolling_std_7d,price_momentum_5d,spike_signal,spike_intensity,inter_spike_interval,india_repo_rate,target
2021-03-04,,,,,,0,0.0,,6.35,1
2021-03-05,0.0034453378701693,0.0034394162909789,,,,1,0.0034453378701693,,6.35,0
2021-03-06,0.0,0.0,,,,0,0.0,1.0,6.35,0
2021-03-07,0.0,0.0,,,,0,0.0,2.0,6.35,1
2021-03-08,2.190801949319976e-05,2.1907779516045644e-05,73.08189849853515,0.1124759903841085,,0,0.0,3.0,6.35,1
2021-03-09,0.0026882637450771,0.0026846568268811,73.12324905395508,0.1427581497902139,0.0061649061896009,0,0.0,4.0,6.35,0
2021-03-10,-0.0075562528676555,-0.0075849459793452,73.07362801688058,0.1849837083422344,-0.0048665013967405,1,0.0075562528676555,5.0,6.35,0
2021-03-11,-0.0009604898183571,-0.0009609513842793,73.04867117745536,0.2231896797815646,-0.0058223169900551,0,0.0,1.0,6.35,0
2021-03-12,-0.0009215379967577,-0.0009219628739445,72.978271484375,0.2661795983012358,-0.0067384895004773,0,0.0,2.0,6.35,0
2021-03-13,0.0,0.0,72.90787179129464,0.2834170980064483,-0.0067602494162944,0,0.0,3.0,6.35,0
2021-03-14,0.0,0.0,72.83747209821429,0.2797045795705994,-0.0094231811650822,0,0.0,4.0,6.35,1
2021-03-15,0.000605717566303,0.0006055341934623,72.77312905447823,0.2505715009884863,-0.001276564562119,0,0.0,5.0,6.35,0
2021-03-16,-0.0023073032798535,-0.0023099692055883,72.65674264090401,0.0798602882141685,-0.0026229519206281,0,0.0,6.0,6.35,1
2021-03-17,4.208433173946702e-06,4.208424318516657e-06,72.6195569719587,0.0756178121198554,-0.0016987820213951,0,0.0,7.0,6.35,0
2021-03-18,-0.0030338467074146,-0.0030384581496378,72.56092834472656,0.1339913138753966,-0.0047274748845675,1,0.0030338467074146,8.0,6.35,1
2021-03-19,0.0051621323882862,0.0051488542589269,72.565185546875,0.1373173716444421,0.0004102536525021,1,0.0051621323882862,1.0,6.35,0
2021-03-20,0.0,0.0,72.56944274902344,0.140414244717708,-0.0001953455895458,0,0.0,1.0,6.35,0
2021-03-21,0.0,0.0,72.57369995117188,0.1432967930100837,0.0021168418865353,0,0.0,2.0,6.35,0
2021-03-22,-0.0036301903075588,-0.0036367954384934,72.5339856828962,0.146445178500301,-0.0015252349742471,1,0.0036301903075588,3.0,6.35,0
