date,actual,snn_pred,lstm_pred,snn_prob,lstm_prob,snn_correct,lstm_correct,error_type,snn_spike_rate
2024-03-11,1,0,1,0.5089,0.5156,0,1,snn_wrong_only,0.4468749761581421
2024-03-12,1,0,1,0.501,0.5158,0,1,snn_wrong_only,0.44140625
2024-03-13,0,0,1,0.4865,0.5157,1,0,lstm_wrong_only,0.4320312440395355
2024-03-14,1,0,1,0.4793,0.5155,0,1,snn_wrong_only,0.43437498807907104
2024-03-15,0,0,1,0.4956,0.515,1,0,lstm_wrong_only,0.43671873211860657
2024-03-16,0,0,1,0.4821,0.515,1,0,lstm_wrong_only,0.4351562559604645
2024-03-17,0,0,1,0.4696,0.5147,1,0,lstm_wrong_only,0.43281251192092896
2024-03-18,0,0,1,0.474,0.5143,1,0,lstm_wrong_only,0.43359375
2024-03-19,1,0,1,0.4718,0.514,0,1,snn_wrong_only,0.4375
2024-03-20,1,0,1,0.4589,0.5139,0,1,snn_wrong_only,0.4390625059604645
2024-03-21,1,0,1,0.4433,0.5137,0,1,snn_wrong_only,0.43828123807907104
2024-03-22,0,0,1,0.4316,0.5136,1,0,lstm_wrong_only,0.4398437738418579
2024-03-23,0,0,1,0.4434,0.5136,1,0,lstm_wrong_only,0.44062501192092896
2024-03-24,1,0,1,0.4765,0.5137,0,1,snn_wrong_only,0.4429687559604645
2024-03-25,0,0,1,0.4685,0.5134,1,0,lstm_wrong_only,0.44453126192092896
2024-03-26,0,0,1,0.4615,0.5086,1,0,lstm_wrong_only,0.4453125
2024-03-27,1,0,1,0.4358,0.5124,0,1,snn_wrong_only,0.4289062023162842
2024-03-28,1,0,1,0.4383,0.5164,0,1,snn_wrong_only,0.4312499761581421
2024-03-29,0,0,1,0.443,0.5186,1,0,lstm_wrong_only,0.43281251192092896
2024-03-30,0,0,1,0.4674,0.5189,1,0,lstm_wrong_only,0.4429687261581421
2024-03-31,0,0,1,0.4762,0.5177,1,0,lstm_wrong_only,0.4546874761581421
2024-04-01,1,0,1,0.477,0.5149,0,1,snn_wrong_only,0.46250003576278687
2024-04-02,0,0,1,0.4758,0.5114,1,0,lstm_wrong_only,0.4609374701976776
2024-04-03,1,0,1,0.4437,0.5072,0,1,snn_wrong_only,0.46171873807907104
2024-04-04,1,0,1,0.4261,0.5023,0,1,snn_wrong_only,0.4632812738418579
2024-04-05,0,0,0,0.4432,0.5001,1,1,both_right,0.4609375298023224
2024-04-06,0,0,0,0.4255,0.5004,1,1,both_right,0.45781251788139343
2024-04-07,0,0,0,0.4226,0.5008,1,1,both_right,0.45234373211860657
2024-04-08,0,0,0,0.4125,0.5012,1,1,both_right,0.44218748807907104
2024-04-09,0,0,0,0.4007,0.5014,1,1,both_right,0.4398437738418579
2024-04-10,1,0,0,0.418,0.5016,0,0,both_wrong,0.44062501192092896
2024-04-11,0,0,1,0.4146,0.5019,1,0,lstm_wrong_only,0.4437499940395355
2024-04-12,0,0,1,0.4198,0.5023,1,0,lstm_wrong_only,0.44921875
2024-04-13,0,0,1,0.4268,0.5024,1,0,lstm_wrong_only,0.4515624940395355
2024-04-14,1,0,1,0.4391,0.5023,0,1,snn_wrong_only,0.45234376192092896
2024-04-15,0,0,1,0.4329,0.5021,1,0,lstm_wrong_only,0.45390623807907104
