epoch,train_loss,val_loss,val_acc,val_f1,val_auc,lr,epoch_time
1,0.89306,0.90925,0.5311,0.503,0.5139,0.001,0.26
2,0.89061,0.90844,0.5,0.533,0.5137,0.001,0.12
3,0.89077,0.90805,0.5226,0.4925,0.503,0.001,0.12
4,0.8884,0.90987,0.5028,0.4913,0.4942,0.001,0.13
5,0.8862,0.90994,0.4096,0.5761,0.4715,0.001,0.14
6,0.88763,0.91011,0.4096,0.5761,0.4618,0.001,0.13
7,0.88539,0.91125,0.5593,0.3554,0.4829,0.001,0.19
8,0.88534,0.91027,0.4096,0.5761,0.4792,0.001,0.17
9,0.88416,0.91014,0.6045,0.0411,0.4694,0.0005,0.15
10,0.88364,0.91124,0.6045,0.0411,0.4648,0.0005,0.14
11,0.88114,0.91166,0.5791,0.2359,0.4684,0.0005,0.16
12,0.88194,0.91199,0.5819,0.2371,0.4567,0.0005,0.13
13,0.88269,0.91304,0.6073,0.0544,0.4506,0.0005,0.21
14,0.8816,0.91296,0.6073,0.0544,0.4535,0.0005,0.3
15,0.8793,0.9132,0.5819,0.2371,0.4613,0.0005,0.13
16,0.87726,0.9123,0.5847,0.2383,0.46,0.0005,0.14
17,0.87987,0.91237,0.5847,0.2383,0.4618,0.00025,0.16
18,0.8787,0.91311,0.5819,0.2371,0.4662,0.00025,0.14
19,0.87918,0.91261,0.6045,0.0667,0.4715,0.00025,0.13
20,0.88026,0.91249,0.6045,0.0667,0.4763,0.00025,0.11
21,0.87951,0.91243,0.5169,0.443,0.4766,0.00025,0.11
