epoch,train_loss,val_loss,train_acc,val_acc,val_f1,val_auc,lr,epoch_time
1,0.9183,0.91427,0.5965,0.5763,0.1477,0.5102,0.001,0.68
2,0.90211,0.90755,0.6429,0.5989,0.0,0.5332,0.001,0.75
3,0.89411,0.90527,0.641,0.5989,0.0,0.5381,0.001,0.68
4,0.89032,0.90432,0.6401,0.5989,0.0,0.5369,0.001,1.04
5,0.88802,0.90386,0.6401,0.5989,0.0,0.5423,0.001,1.89
6,0.88667,0.90365,0.6401,0.5989,0.0,0.5462,0.001,1.33
7,0.88533,0.90373,0.6401,0.5847,0.0755,0.5488,0.001,1.21
8,0.88413,0.90406,0.641,0.5847,0.087,0.5511,0.001,1.23
9,0.883,0.90537,0.6419,0.5876,0.131,0.5445,0.001,1.62
10,0.88205,0.90581,0.6438,0.5678,0.2388,0.5449,0.001,1.28
11,0.88069,0.90809,0.6438,0.5678,0.3319,0.5376,0.001,1.2
12,0.87951,0.90867,0.6456,0.5565,0.3695,0.5383,0.001,1.25
13,0.87832,0.91073,0.6456,0.5508,0.4133,0.5374,0.001,1.45
14,0.87886,0.91065,0.654,0.5593,0.4388,0.5392,0.001,1.15
15,0.87732,0.91252,0.654,0.5452,0.439,0.5362,0.001,1.18
16,0.87667,0.913,0.6531,0.5395,0.4512,0.5388,0.0005,1.18
17,0.87561,0.91419,0.6586,0.5311,0.4467,0.5407,0.0005,1.2
18,0.87487,0.91504,0.6568,0.5311,0.4503,0.5383,0.0005,1.2
19,0.87442,0.91517,0.6605,0.5254,0.4474,0.54,0.0005,1.5
20,0.87388,0.91503,0.6586,0.5254,0.4545,0.5433,0.0005,1.15
21,0.87375,0.91589,0.6596,0.5254,0.4545,0.544,0.0005,1.22
22,0.8737,0.91503,0.6568,0.5339,0.4625,0.5498,0.0005,1.21
23,0.8736,0.91541,0.6549,0.5339,0.466,0.5514,0.0005,1.28
24,0.87329,0.9158,0.6586,0.5339,0.466,0.5518,0.0005,1.38
25,0.8728,0.91771,0.6596,0.5282,0.4665,0.5482,0.0005,1.27
26,0.87228,0.91807,0.6623,0.5282,0.4698,0.5483,0.0005,1.48
27,0.87224,0.91742,0.6614,0.5254,0.475,0.553,0.0005,1.31
28,0.87172,0.9187,0.6605,0.5339,0.4892,0.5504,0.0005,1.24
29,0.87185,0.91914,0.6596,0.5311,0.4813,0.5488,0.0005,1.32
30,0.87085,0.92014,0.6642,0.5254,0.4847,0.5454,0.0005,1.25
31,0.87057,0.92105,0.667,0.5198,0.4785,0.5465,0.0005,1.33
32,0.87009,0.92204,0.6642,0.5198,0.4817,0.5451,0.0005,1.3
33,0.8696,0.92318,0.6633,0.5169,0.4802,0.5482,0.0005,1.77
34,0.86864,0.92391,0.6633,0.5056,0.4745,0.5472,0.0005,1.7
35,0.86904,0.92471,0.6596,0.5085,0.479,0.5457,0.00025,1.88
36,0.86802,0.92539,0.6698,0.5113,0.4866,0.5443,0.00025,1.75
37,0.86733,0.92547,0.6688,0.5169,0.4926,0.5467,0.00025,1.73
38,0.8674,0.92649,0.6698,0.5141,0.4941,0.546,0.00025,2.65
39,0.86702,0.92688,0.6744,0.5085,0.4912,0.5474,0.00025,3.72
40,0.8669,0.92783,0.6725,0.5085,0.4912,0.5491,0.00025,3.65
41,0.86668,0.92808,0.6725,0.5085,0.4912,0.5462,0.00025,3.58
42,0.86626,0.92871,0.6772,0.5056,0.4898,0.545,0.00025,1.8
43,0.86618,0.92929,0.6753,0.5113,0.4986,0.5458,0.000125,1.33
44,0.86547,0.92913,0.6753,0.5113,0.5014,0.5486,0.000125,1.51
45,0.86545,0.92936,0.6753,0.5085,0.4971,0.548,0.000125,2.0
46,0.86535,0.92953,0.6763,0.5085,0.4971,0.5488,0.000125,2.23
47,0.865,0.92979,0.6772,0.5113,0.5014,0.5472,0.000125,1.62
